mpg,cyl,disp,power,weight,acce,model,mpg_norm,disp_norm,power_norm,weight_norm,acce_norm,kpl
18.0,8,193.13979848866498,130.0,3504,12.0,70,0.2393617021276596,0.3233586524254909,0.4565217391304348,0.5361497022965693,0.23809523809523803,7.65
15.0,8,350.0,165.0,3693,11.5,70,0.15957446808510636,0.7286821705426357,0.6467391304347826,0.5897363198185427,0.20833333333333337,6.38
18.0,8,318.0,150.0,3436,11.0,70,0.2393617021276596,0.6459948320413437,0.5652173913043478,0.5168698610717324,0.1785714285714286,7.65
16.0,8,304.0,150.0,3433,12.0,70,0.18617021276595744,0.6098191214470284,0.5652173913043478,0.5160192798412249,0.23809523809523803,6.8
17.0,8,302.0,140.0,3449,10.5,70,0.2127659574468085,0.6046511627906976,0.5108695652173912,0.5205557130705982,0.14880952380952384,7.23
15.0,8,429.0,198.0,4341,10.0,70,0.15957446808510636,0.9328165374677002,0.826086956521739,0.7734618656081657,0.11904761904761907,6.38
14.0,8,454.0,220.0,4354,9.0,70,0.1329787234042553,0.9974160206718348,0.9456521739130435,0.7771477176070315,0.059523809523809534,5.95
14.0,8,440.0,215.0,4312,8.5,70,0.1329787234042553,0.9612403100775193,0.9184782608695652,0.7652395803799262,0.029761904761904767,5.95
14.0,8,455.0,225.0,4425,10.0,70,0.1329787234042553,1.0,0.9728260869565217,0.797278140062376,0.11904761904761907,5.95
15.0,8,390.0,190.0,3850,8.5,70,0.15957446808510636,0.8320413436692506,0.7826086956521738,0.6342500708817692,0.029761904761904767,6.38
15.0,8,383.0,170.0,3563,10.0,70,0.15957446808510636,0.813953488372093,0.6739130434782609,0.5528777998298838,0.11904761904761907,6.38
14.0,8,340.0,160.0,3609,8.0,70,0.1329787234042553,0.702842377260982,0.6195652173913043,0.5659200453643324,0.0,5.95
15.0,8,400.0,150.0,3761,9.5,70,0.15957446808510636,0.8578811369509045,0.5652173913043478,0.6090161610433796,0.0892857142857143,6.38
14.0,8,455.0,225.0,3086,10.0,70,0.1329787234042553,1.0,0.9728260869565217,0.4176353841791891,0.11904761904761907,5.95
24.0,4,113.0,95.0,2372,15.0,70,0.39893617021276595,0.11627906976744184,0.2663043478260869,0.21519705131840094,0.41666666666666663,10.2
22.0,6,198.0,95.0,2833,15.5,70,0.3457446808510638,0.3359173126614987,0.2663043478260869,0.3459030337397222,0.4464285714285714,9.35
18.0,6,199.0,97.0,2774,15.5,70,0.2393617021276596,0.33850129198966405,0.27717391304347827,0.3291749362064077,0.4464285714285714,7.65
21.0,6,200.0,85.0,2587,16.0,70,0.3191489361702128,0.3410852713178295,0.21195652173913043,0.2761553728381061,0.47619047619047616,8.93
27.0,4,97.0,88.0,2130,14.5,70,0.4787234042553191,0.07493540051679587,0.2282608695652174,0.14658349872412813,0.38690476190476186,11.48
26.0,4,97.0,46.0,1835,20.5,70,0.4521276595744681,0.07493540051679587,0.0,0.06294301105755595,0.744047619047619,11.05
25.0,4,110.0,87.0,2672,17.5,70,0.42553191489361697,0.10852713178294571,0.22282608695652173,0.3002551743691523,0.5654761904761904,10.63
24.0,4,107.0,90.0,2430,14.5,70,0.39893617021276595,0.10077519379844962,0.2391304347826087,0.23164162177487946,0.38690476190476186,10.2
25.0,4,104.0,95.0,2375,17.5,70,0.42553191489361697,0.09302325581395349,0.2663043478260869,0.21604763254890846,0.5654761904761904,10.63
26.0,4,121.0,113.0,2234,12.5,70,0.4521276595744681,0.13695090439276486,0.36413043478260865,0.1760703147150553,0.2678571428571428,11.05
21.0,6,199.0,90.0,2648,15.0,70,0.3191489361702128,0.33850129198966405,0.2391304347826087,0.2934505245250921,0.41666666666666663,8.93
10.0,8,360.0,215.0,4615,14.0,70,0.026595744680851047,0.7545219638242894,0.9184782608695652,0.8511482846611852,0.3571428571428571,4.25
10.0,8,307.0,200.0,4376,15.0,70,0.026595744680851047,0.6175710594315246,0.8369565217391304,0.7833853132974199,0.41666666666666663,4.25
11.0,8,318.0,210.0,4382,13.5,70,0.05319148936170212,0.6459948320413437,0.8913043478260869,0.7850864757584349,0.32738095238095233,4.68
9.0,8,304.0,193.0,4732,18.5,70,0.0,0.6098191214470284,0.7989130434782608,0.8843209526509782,0.6249999999999999,3.83
27.0,4,97.0,88.0,2130,14.5,71,0.4787234042553191,0.07493540051679587,0.2282608695652174,0.14658349872412813,0.38690476190476186,11.48
28.0,4,140.0,90.0,2264,15.5,71,0.5053191489361701,0.18604651162790697,0.2391304347826087,0.18457612702013038,0.4464285714285714,11.9
25.0,4,113.0,95.0,2228,14.0,71,0.42553191489361697,0.11627906976744184,0.2663043478260869,0.17436915225404026,0.3571428571428571,10.63
25.0,4,98.0,104.18939393939394,2046,19.0,71,0.42553191489361697,0.07751937984496121,0.3162467061923584,0.12276722426991782,0.6547619047619048,10.63
19.0,6,232.0,100.0,2634,13.0,71,0.26595744680851063,0.42377260981912146,0.2934782608695652,0.2894811454493904,0.29761904761904756,8.08
16.0,6,225.0,105.0,3439,15.5,71,0.18617021276595744,0.40568475452196384,0.32065217391304346,0.5177204423022399,0.4464285714285714,6.8
